"id","name","state","created_at","updated_at","short_name","tax_id","address1","address2","city","us_state","zipcode","country","notes","external_id","company_type","emails"
22,U.S. Pride Furniture Corp.,0,2022-02-07 18:42:36.918,2022-02-07 18:42:36.918,U.S. Pride Furniture Corp.,"45-5638920","15530 Salt Lake Ave",,City of Industry,CA,"91745",US,"{}",,,"{c9inc@yahoo.com,xifengbram@gmail.com}"
23,Chain Venture Inc,0,2022-02-10 20:40:49.012,2022-02-10 20:40:49.012,Chain Venture Inc,"822132210","11111 Katy Fwy Ste. 910",,Houston,TX,"77079",US,"{}",,,{chainventure.tx@gmail.com}
24,JANS ENTERPRISES CORP,0,2022-02-12 00:29:08.816,2022-02-12 00:29:08.816,JANS ENTERPRISES CORP,"26-1801375","4181 TEMPLE CITY BLVD, STE A",,EL MONTE,CA,"91745",US,"{}",,,"{anastasia@wiracorp.com,anthony@jansfood.com}"
26,"3H Supplies Inc.",0,2022-02-16 09:46:40.194,2022-02-16 09:46:40.194,"3H Supplies Inc.","46-3161131","20955 Pathfinder Rd. Suite 100",,Diamond Bar,CALIFORNIA,"91765",US,"{}",,,{lilian@3hus.co}
27,Artisan Hardwood Inc,0,2022-02-16 19:07:48.555,2022-02-16 19:07:48.555,Artisan Hardwood Inc,"81-2877417","12250 4th Street, Suite B",,Rancho Cucamonga,CA,"91730",US,"{}",,,{jwang@artisanhardwood.com}
28,"Blue Sky Clayworks, Inc.",0,2022-02-21 19:38:40.184,2022-02-21 19:38:40.184,"Blue Sky Clayworks, Inc.","462992677","2075 S. Atlantic Blvd., Ste H.",,Monterey Park,California,"91754",US,"{}",,,{pohsunh@aol.com}
29,PT. Port Alliance,0,2022-02-22 05:35:10.914,2022-02-22 06:18:03.076,PT. Port Alliance,"027505536041000",Gedung The Honey Lady Lt 6 Unit 603 CBD Pluit Jl. Pluit Selatan Raya No. 1,"",Jakarta,"","14450",ID,"{}","","",{sudiyanto.hong@port-alliance.co.id}
30,"Oceanstar Design Group, Inc",0,2022-02-28 21:59:49.321,2022-03-02 02:16:19.180,"Oceanstar Design Group, Inc","208358381",P.O. BOX 5076,"",DIAMOND BAR,CA,"91765",US,"{}","","",{charles@oceanstardesign.com}
31,iCargo Logistics Inc.,0,2022-03-03 19:15:59.720,2022-03-03 19:15:59.720,iCargo Logistics Inc.,"475092587","20538 Carrey Rd.",,Walnut,California,"91789",US,"{}",,,{annie@icargoinc.com}
32,ARES International Logistics Inc.,0,2022-03-14 18:41:05.171,2022-03-14 18:41:05.171,ARES International Logistics Inc.,"471990828","731 S. Garfield Ave. Suite 2B",,Alhambra,CA,"91801",US,"{}",,,{kelvinchen@areslax.com}
33,"3PX USA INC.",0,2022-03-15 23:38:28.134,2022-03-15 23:38:28.134,"3PX USA INC.","270862280","21908 Valley Blvd",,Walnut,CA,"91789",US,"{}",,,"{brian@3pxusa.com,kek@3pxusa.com}"
34,Greating Shipping Company,0,2022-03-16 01:13:01.251,2022-03-16 01:13:01.251,Greating Shipping Company,"251077752","2225 W. Commonwealth Ave., Suite 316",,Alhambra,CA,"91803",US,"{}",,,{jamesc@greating-shipping.com}
35,O K Container Sales Inc.,0,2022-03-17 21:48:25.653,2022-03-17 21:48:25.653,O K Container Sales Inc.,"300067622","2707 E. Valley Blvd. Suite 305",,West Covina,CA,"91792",US,"{}",,,{david@okcontainersales.com}
36,Test Inc.,0,2022-03-24 00:51:07.260,2022-03-24 00:51:07.260,Test Inc.,"12345678",Testing 123,,Test,TE,"01234",US,"{}",,,{wilson35@bu.edu}
37,Ivy Supplies Inc.,0,2022-03-29 01:55:37.907,2022-03-29 01:55:37.907,Ivy Supplies Inc.,"38-4116453","23661 Birtcher Dirve",,Lake Forest,CA,"92630",US,"{}",,,{shipping@oceania-inc.com}
38,VivianTest,0,2022-03-31 08:46:27.019,2022-03-31 08:46:27.019,VivianTest,"12345678","35 State St",,Los Altos,CA,"94205",US,"{}",,,{vivian.chiang@bluextrade.com}
39,Assisto,0,2022-04-06 12:07:22.011,2022-04-06 12:07:22.011,Assisto,"988-09-8988",New Jersey,,Jersey City,New jersey,"07307",US,"{}",,,{roscokaan@gmail.com}
40,"LIKE DREAMS, INC",0,2022-04-06 19:01:32.279,2022-04-06 19:01:32.279,"LIKE DREAMS, INC","27-5423233","4433 PACIFIC BLVD",,VERNON,CALIFORNIA,"90058",US,"{}",,,"{guss@ilikedreams.com,helens@ilikedreams.com}"
41,Honest Health LLC,0,2022-04-10 20:28:45.352,2022-04-10 20:28:45.352,Honest Health LLC,"82-5134709","601 4th Street, Unit 112, Unit 112",,San Francisco,CA,"94107",US,"{}",,,{fel@getpotli.com}
42,"W.H.P.M, INC.",0,2022-04-12 18:56:07.151,2022-04-12 18:56:07.151,"W.H.P.M, INC.","95-4409935","5358 Irwindale Ave",,Irwindale,Ca,"91706",US,"{}",,,"{ap@whpm.com,schen@whpm.com}"
43,ABC Company,0,2022-04-18 19:58:15.149,2022-04-18 19:58:15.149,ABC Company,"12345678","20955 Pathfinder Rd",,Diamond Bar,CA,"91765",US,"{}",,,{jim.wu@bluexpay.com}
45,Paper 360 Inc.,0,2022-04-27 22:11:23.100,2022-04-27 22:11:23.100,Paper 360 Inc.,"264348233","2910 S. Archibald Ave., #A537",,Ontario,CA,"91761",US,"{}",,,{ed@paper-360.com}
46,Sonia Kao,0,2022-05-02 10:00:05.739,2022-05-02 10:00:05.739,Sonia Kao,"123456789",#179 Zhongshan N Road Section 2,,Taipei City,,"104",TW,"{}",,,{soniakao1999@gmail.com}
47,Simple Pair Fashion Design ,0,2022-05-02 21:15:42.494,2022-05-02 21:15:42.494,Simple Pair Fashion Design ,"270176596","347 Primrose Road, Suite C",,Burlingame,CA,"94010",US,"{}",,,{simplepearfashiondesign@gmail.com}
48,"Forte' Turf, Inc. ",0,2022-05-03 16:10:18.897,2022-05-03 16:10:18.897,"Forte' Turf, Inc. ","821893218","4020 N. MacArthur Blvd",,Irving,TX,"75038",US,"{}",,,{julie.forteturfinc@gmail.com}
49,"Hollywood Turf, Inc. ",0,2022-05-03 16:29:31.729,2022-05-03 16:29:31.729,"Hollywood Turf, Inc. ","853156192","690 Ridgeway St",,Pomona,CA,"91768",US,"{}",,,{julie.hollywoodturfinc@gmail.com}
50,E Cargo Inc,0,2022-05-11 00:24:05.941,2022-05-11 00:24:05.941,E Cargo Inc,"821848342","13831 Roswell Road #H",,Chino,CA,"91710",US,"{}",,,"{acct-lax@e-cargogroup.com,scchen-lax@e-cargogroup.com}"
51,Jessie Liu Collection ,0,2022-05-16 20:51:55.486,2022-05-16 20:51:55.486,Jessie Liu Collection ,"270176596","347 Primrose Road, Suite C",,Burlingame,CA,"94010",US,"{}",,,{jessieliujie@hotmail.com}
52,EMCOD INC,0,2022-05-18 20:06:38.882,2022-05-18 20:06:38.882,EMCOD INC,"461530215","646 Flinn Ave Ste. B",,Moorpark,CA,"93021",US,"{}",,,"{accounting@emcod.com,info@emcod.com}"
53,"Agnetix, Inc.",0,2022-05-18 22:40:21.313,2022-05-18 22:40:21.313,"Agnetix, Inc.","823163388","7965 Dunbrook Rd, Suite I",,San Diego,CA,"92126",US,"{}",,,{kevin.cheng@agnetix.com}
54,Cenports Commerce Inc ,0,2022-05-19 00:41:08.659,2022-05-19 00:41:08.659,Cenports Commerce Inc ,"821596694","1742 Sabre Street",,Hayward ,CA,"94545",US,"{}",,,"{derrick@cenports.com,jackie@cenports.com}"
55,Luxy Custom Flooring Inc,0,2022-05-19 19:17:10.591,2022-05-19 19:17:10.591,Luxy Custom Flooring Inc,"842918474","19224 E Walnut Dr N Unit D",,City of Industry,CA,"91748",US,"{}",,,{gerry0215@gmail.com}
56,raging wearing inc,0,2022-05-26 22:35:32.710,2022-05-26 22:35:32.710,raging wearing inc,"270712095","618 brea canyon rd unit D1",,diamond bar ,CA,"91789",US,"{}",,,{ragingwearing@gmail.com}
57,kimikos CAVE,0,2022-06-01 23:57:08.140,2022-06-01 23:57:08.140,kimikos CAVE,"863835474","500 S Los Angeles st #28",,Los Angeles ,CA,"90013",US,"{}",,,{kg660376@gmail.com}
58,ADMORE AIR CONDITIONING CORP,0,2022-06-03 13:21:57.088,2022-06-03 13:21:57.088,ADMORE AIR CONDITIONING CORP,"131695086","835 MCLEAN AVE",,YONKERS ,NY,"10704",US,"{}",,,{randreala@admoreair.org}
59,HAPPY CHILDREN KINDERGARTEN LIMITED LIABILITY COMPANY,0,2022-06-08 04:09:44.438,2022-06-08 04:09:44.438,HAPPY CHILDREN KINDERGARTEN LIMITED LIABILITY COMPANY,"881863057","411 NW  HIGHWAY 69 ",,LEONARD,TX,"75452",US,"{}",,,{admin@happychildren.one}
60,"Le Express (Qingdao) Co., Ltd",0,2022-06-13 05:30:59.721,2022-06-13 05:30:59.721,LeExpress,"91370200","Room 2003, No. 100, Hongkong Middle Rd.",,Qingdao,SD,"266073",CN,"{}",,,{jeffrey@le-express.cn}
61,"Crown Forwarding, Inc",0,2022-06-13 16:51:07.158,2022-06-13 16:51:07.158,CROWN TRADING INTERNATIONAL LLC,"953489805","5252 Argosy Ave",,Huntington Beach,CA,"92649",US,"{}",,,{bgurr21969@aol.com}
62,The Gifting Group LLC,0,2022-06-13 20:54:21.408,2022-06-13 20:54:21.408,Alder Creek Gift Baskets,"451827940","42210 Zevo Dr",,Temecula,CA,"92590",US,"{}",,,"{greg@tgggifts.com,receivables@tgggifts.com,samanthas@tgggifts.com,vivianao@tgggifts.com}"
63,"Speeding Rocket Co., Ltd",0,2022-06-15 08:05:46.480,2022-06-15 08:05:46.480,"Speeding Rocket Co., Ltd","65279724","8F., No. 217, Sec. 2, New Taipei Blvd., Xinzhuang Dist.",,New Taipei City ,,"242032",TW,"{}",,,{gary@speeding-rocket.com}
64,Unique One Logistics,0,2022-06-15 19:02:11.462,2022-06-15 19:02:11.462,UNIQUE ONE LOGISTICS,"844895794","12523 Limonite Ave STE 440-411",,Mira Loma,CA,"91752",US,"{}",,,{ops@unique1logistics.com}
65,"Rufus Labs, Inc",0,2022-06-17 18:36:46.338,2022-06-17 18:36:46.338,"Rufus Labs, Inc","813483567","914 N FORMOSA AVE",,LOS ANGELES,CA,"90046",US,"{}",,,{mbarreto@rufuslabs.com}
66,Ashtel Studios Inc ,0,2022-06-22 21:24:11.618,2022-06-22 21:24:11.618,Ashtel Studios Inc ,"900260613","1610 E. Philadelphia St ",,Ontario ,CA,"91761",US,"{}",,,"{anish@ashtelstudios.com,jimmy@ashtelstudios.com,ken@ashtelstudios.com,rae@ashtelstudios.com,sukhi@ashtelstudios.com}"
67,HAUSLANE,0,2022-06-23 16:13:01.698,2022-06-26 15:34:53.162,HAUSLANE,"824173062","267 WATTIS WAY","",SOUTH SAN FRANCISCO,CA,"94080",US,"{}","","","{bobo@hauslane.com,calvin@hauslane.com}"
68,Nippon Yusen Kabushiki Kaisha,0,2022-06-24 13:02:28.376,2022-06-24 13:02:28.376,NYK Group Americas Inc.,"135630308","300 Lighting Way, 5th Floor",,Secaucus,NJ,"07094",US,"{}",,,"{diana.arroyo@nykgroup.com,heather.twombly@nykgroup.com,jeffrey.lombardi@nykgroup.com,laura.munoz@nykgroup.com,megan.smith@nykgroup.com,phillip.bennett@nykgroup.com,rebecca.kerner@nykgroup.com,renee.wilson@nykgroup.com,rosa.grossman@nykgroup.com,sarah.lafan@nykgroup.com,sarah.thrane-temp@nykgroup.com,sherri.panzilius@nykgroup.com,sylvia.ly@nykgroup.com,wanda.rivera@nykgroup.com}"
69,Asia Pacific Shipping Co Ltd,0,2022-06-26 18:17:46.167,2022-06-26 18:17:46.167,Asia Pacific Shipping Co Ltd,"461107030","14 W Hawthorne Ave #100",,Valley Stream,NY,"11580",US,"{}",,,{nicleeasiapup71@gmail.com}
70,Yescom USA Inc,0,2022-06-27 19:34:47.447,2022-06-27 19:34:47.447,Yescom USA Inc,"753021894","185 N Sunset Ave",,City of Industry,CA,"91744",US,"{}",,,"{accounting@thelashop.com,winnie_chan@thelashop.com}"
71,"The City, Inc.",0,2022-06-27 19:43:12.261,2022-06-27 19:43:12.261,City Global,"271945100","9800 Wilshire Blvd",,Beverly Hills,CA,"90212",US,"{}",,,{accounting@cityglobal.com}
72,KC Global Network Inc,0,2022-07-06 17:59:04.195,2022-07-06 17:59:04.195,KC Global Network Inc,"371826343","20501 Ventura Blvd. #106",,woodland hills ,CA,"91364",US,"{}",,,"{havri@kcglobalnetwork.com,sales@kcglobalnetwork.com}"
73,JayneTest130,0,2022-07-12 07:51:15.859,2022-07-12 07:51:15.859,JayneTest130,"123496789","6753 JONES MILL CT. SUITE A NORCROSS,GA",,San Fransico,AK,"30092",US,"{}",,,{jayne.lin+test130@bluextrade.com}
74,Coollid Corporation,0,2022-07-13 20:45:34.605,2022-07-13 20:45:34.605,Coollid Corporation,"821550234","7545 Irvine Center Drive, Suite 200",,Irvine,CA,"92618",US,"{}",,,{milancoollid@gmail.com}
75,"SEA-BIG EXPRESS, INC.",0,2022-07-15 23:41:42.870,2022-07-15 23:41:42.870,"SEA-BIG EXPRESS, INC.","330978550","198 W. 146TH ST.",,GARDENA,CA,"90248",US,"{}",,,{steve@seabig.com}
76,Sarah Hayes,0,2022-07-17 19:36:57.202,2022-07-17 19:36:57.202,"Rgs Products, Inc","264360627","455 W 2Nd St",,Waterford,PA,"16441",US,"{}",,,{robertycrain@hotmail.com}
77,INTERNATIONAL DOOR CLOSERS,0,2022-07-18 21:36:22.446,2022-07-18 21:36:22.446,INTERNATIONAL DOOR CLOSERS,"952558021","4431 E. LA PALMA AVE.",,ANAHEIM,CA,"92807",US,"{}",,,"{lcervero@intldoorclosers.com,pbeltran@intldoorclosers.com}"
78,BLUE OCEAN LOGISTICS CORPORATION,0,2022-07-18 23:11:07.179,2022-07-18 23:11:07.179,NA,"264636577","18118 3/4 S. BROADWAY",,GARDENA,CA,"90248",US,"{}",,,{import@bologistic.com}
79,Valfre,0,2022-07-19 19:14:10.491,2022-07-19 19:14:10.491,Valfre,"464659320","1108 S Los Angeles St",,Los Angeles,CA,"90015",US,"{}",,,{shelby@valfre.com}
80,Total Paper and Packaging Inc,0,2022-07-22 17:16:12.619,2022-07-22 17:16:12.619,Target Source,"270168507","2175 AGATE CT",,SIMI VALLEY,CA,"93065",US,"{}",,,{rajiv@totalpaper.net}
81,UNITED CARGO MANAGEMENT INC,0,2022-07-29 19:13:36.295,2022-07-29 19:13:36.295,UNITED CARGO MANAGEMENT INC,"954114867","19401 S. MAIN ST. STE 202",,GARDENA,CA,"90248",US,"{}",,,{thomaslee@ucmcargo.com}
82,Tali Corp,0,2022-08-01 22:07:21.493,2022-08-02 03:40:06.881,bkr,"270906796","340 S LEMON AVE #2262","",WALNUT,CA,"91789",US,"{}","","",{adam@mybkr.com}
83,The Uplifters' Prima PBC,0,2022-08-01 23:37:13.635,2022-08-01 23:37:13.635,Prima,"831034950","2633 Lincoln Blvd #224",,Santa Monica,CA,"90405",US,"{}",,,{emily@fullstackfinance.com}
85,"Finvoice, Inc.",0,2022-08-05 03:56:50.425,2022-08-05 03:56:50.425,"Finvoice, Inc.","472972034","1559B Sloat Boulevard",,San Francisco,CA,"94132",US,"{}",,,{andrew@getfinvoice.com}
86,Lixit Corporation,0,2022-08-05 18:28:08.592,2022-08-05 18:28:08.592,Lixit Corporation,"680147154","100 Coombs Street",,Napa,CA,"94559",US,"{}",,,{ada@lixit.com}
87,ABI USA SALES CORP,0,2022-08-05 22:21:03.437,2023-09-27 01:48:44.239,ABI,"954880477","2300 s hill st",,los angeles,CA,"90007",US,"{}","",,"{bryan@abiusagroup.com,james@abiusagroup.com}"
88,"Indo European Foods, Inc",0,2022-08-08 20:07:14.905,2022-08-08 20:07:14.905,Indo European Foods,"953548726","3420 S Malt Ave",,Commerce,CA,"90040",US,"{}",,,"{dougb@indo-euro.com,veronica@indo-euro.com}"
89,NORMI&CORE INDUSTRIAL LIMITED,0,2022-08-09 07:15:27.189,2022-08-09 07:15:27.189,SUPPLIER,"69323146",UNIT 2508A 25/F BANK OF AMERICA TOWER 12 HARCOURT RD CENTRAL HONG KONG,,HONGKONG,"","999077",HK,"{}",,,{allen@nc-sofas.com}
90,QTAA LIMITED,0,2022-08-09 09:33:55.017,2022-08-11 07:44:48.866,vendor,"35973543","1/F XIU PING COM BLDG, 104 JERVOIS STREET,",,"HONG KONG, CHINA (HKG)","","852",HK,"{}",,,{wyfungco@hotmail.com}
91,Tanera Transport LLC,0,2022-08-11 19:59:51.975,2022-08-11 19:59:51.975,Tanera Transport LLC,"832766372","20955 Pathfinder Rd. STE 215",,Diamond Bar,CA,"91765",US,"{}",,,{accounting@taneratransport.com}
92,CARGO LINK USA LLC,0,2022-08-15 05:58:48.615,2022-08-16 17:00:07.474,CARGO LINK USA,"822137591","8811 Garvey ave  suite 206",,ROSEMEAD,CA,"91770",US,"{}",,,{imports@cargolinkusa.com}
93,"XIAMEN TRITRANSLINKS LOGISTICS CO.,LTD",0,2022-08-15 09:30:15.274,2022-08-15 09:30:15.274,LOGISTICS,"91350206093267918M","Room 201A201C, Norinco Business Plaza No. 6 Huli Avenue Xiamen 361009, China",,Xiamen,FJ,"361009",CN,"{}",,,{louise@ttlchn.com}
94,GUANGDONG G-TOP IMPORT AND EXPORT COMPANY LIMITED,0,2022-08-18 09:23:49.379,2022-08-18 09:23:49.379,import and export business,"91440606729209095Y","NO. 26, FENGNING ROAD, RONGGUI, SHUNDE, FOSHAN, GUANGDONG, CHINA",,FOSHAN,"","528303",CN,"{}",,,{shipping@g-top.net}
95,KidsEmbrace LLC,0,2022-08-19 18:14:11.082,2022-08-19 18:14:11.082,Inspired Products Group,"711030778","6711 Odessa Ave",,Van Nuys,CA,"91406",US,"{}",,,"{george@kidsembrace.com,lakshmi@kidsembrace.com}"
96,OEC Shipping Los Angeles Inc.,0,2022-08-22 18:47:33.999,2022-08-22 18:47:33.999,OEC Shipping Los Angeles Inc.,"954682826","13100 Alondra Blvd Ste 100",,Cerritos,CA,"90703",US,"{}",,,{pkao.lax@oecgroup.com}
97,"FLEXPORT, INC",0,2022-08-23 22:14:21.447,2022-08-23 22:14:21.447,"FLEXPORT INTERNATIONAL, LLC","464803755","760 MARKET STREET , 8TH FLOOR",,SAN FRANCISCO,CA,"94102",US,"{}",,,{lwest@flexport.com}
98,"TKK CUSTOMS BROKERS, INC",0,2022-08-23 23:51:00.568,2022-08-23 23:51:00.568,SAME,"371862400","11099 S. LA CIENEGA BLVD, SUITE 215",,LOS ANGELES,"","90045",US,"{}",,,{vivian@tkkcustombrokers.com}
99,"Huizhou Winston Home Furnishing CO., LTD",0,2022-08-24 07:52:31.940,2022-08-24 07:52:31.940,"Production and sales: furniture, furniture accessories; Domestic trade; Import and export of goods.","91441303MA4X1DLC76",Winston Industrial Park Xiaobi Xinfeng Village Xinxu Town Huiyang District,,Huizhou,GD,"516223",CN,"{}",,,{sunnysutt@163.com}
100,"Cross Si, Inc",0,2022-08-24 23:05:41.375,2022-08-24 23:05:41.375,Cross Si,"814202354","4621 Pacific Blvd",,Vernon,CA,"90058",US,"{}",,,{2001saturnllc@gmail.com}
101,"GUANGZHOU LUOGELANG LEATHER CO., LTD",0,2022-08-25 10:50:16.778,2024-05-09 06:28:39.341,"GUANGZHOU LUOGELANG LEATHER CO., LTD","91440114563954166E","No. 22 1st Nanhe Street, Union Village, Shiling Town, Huadu District",,Guangzhou,GD,"00000",CN,"{}",,,{sungil_daniel@163.com}
102,"GUANGZHOU LAIKA LEATHER CO., LTD",0,2022-08-26 02:01:38.228,2022-10-31 07:05:41.292,GUANGZHOU LAIKA LEATHER,"91440101MA59GD9Y2X","FLOOR 1-6,LICHENG STREET,HECHENG VILLAGE,SHILING TOWN,HUADU DISTRICT,GUANGZHOU CITY,GUANGDONG PROVINCE,CHINA",,GUANGZHOU,GD,"510800",CN,"{}",,,{tang_q.he@163.com}
103,KIDSTALE PLAYGROUNDS LLC,0,2022-08-26 19:52:57.442,2022-08-26 19:52:57.442,WHOLESALER,"861574629","11945 N FREEWAY SUITE 200",,HOUSTON,TX,"77060",US,"{}",,,"{accounting@kidstaleplaygrounds.com,sean.s@kidstaleplaygrounds.com}"
104,"GUANGZHOU KAYEE ENTERPRISE SERVICES CO.,LTD",0,2022-08-27 10:05:46.931,2023-07-19 07:30:58.942,"GUANGZHOU KAYEE ENTERPRISE SERVICES CO.,LTD","91440114MA9YCCL06D","ROOM1201, NO.91-5 SHILING AVENUE WEST, HUADU DISTRICT,",,GUANGZHOU,GD,"510800",CN,"{}",,,{fashionhouse_ly@163.com}
105,Brookline LLC,0,2022-08-29 10:03:50.324,2022-08-29 10:03:50.324,LILOGY ,"824363477","60 Broad St.",,New York,NY,"10004",US,"{}",,,"{andrew@lilogy.com,billing@lilogy.com}"
